PollenDonor;SeedDonor;Indv;Flower;Fruit;FruitSet;SeedGood;SeedTotal;SeedSet
lingua;parviflora;1;1;0;0;;;
lingua;parviflora;2;1;1;1;0;1000;0
lingua;parviflora;3;1;1;1;63;1000;0.063
lingua;parviflora;4;1;1;1;441;1189;0.370899916
lingua;parviflora;5;1;1;1;0;1000;0
lingua;parviflora;6;1;1;1;;;
lingua;parviflora;7;1;1;1;597;1100;0.542727273
lingua;parviflora;8;1;1;1;533;1038;0.513487476
lingua;parviflora;9;1;1;1;687;1128;0.609042553
lingua;parviflora;10;1;0;0;;;
lingua;parviflora;11;1;1;1;0;1000;0
lingua;parviflora;12;1;1;1;693;1078;0.642857143
lingua;parviflora;13;1;1;1;;;
lingua;parviflora;14;1;1;1;511;1082;0.472273567
lingua;parviflora;15;1;1;1;463;1104;0.419384058
lingua;parviflora;16;1;1;1;400;904;0.442477876
lingua;parviflora;17;1;0;0;;;
lingua;parviflora;18;1;1;1;308;1070;0.287850467
lingua;parviflora;19;1;1;1;529;1011;0.523244313
lingua;parviflora;20;1;1;1;389;1240;0.313709677
lingua;parviflora;21;1;1;1;0;1000;0
lingua;parviflora;22;1;1;1;406;1041;0.390009606
lingua;parviflora;23;1;1;1;517;1121;0.461195361
lingua;parviflora;24;1;1;1;427;1136;0.375880282
lingua;parviflora;25;1;1;1;301;1070;0.281308411
lingua;parviflora;26;1;1;1;646;1106;0.584086799
parviflora;lingua;27;1;0;0;;;
parviflora;lingua;28;1;1;1;0;1000;0
parviflora;lingua;29;1;1;1;0;1000;0
parviflora;lingua;30;1;0;0;;;
parviflora;lingua;31;1;0;0;;;
parviflora;lingua;32;1;1;1;0;1000;0
parviflora;lingua;33;1;0;0;;;
parviflora;lingua;34;1;1;1;0;1000;0
parviflora;lingua;35;1;1;1;0;1000;0
parviflora;lingua;36;1;0;0;;;
parviflora;lingua;37;1;1;1;0;1000;0
parviflora;lingua;38;1;0;0;;;
parviflora;lingua;39;1;1;1;0;1000;0
parviflora;lingua;40;1;1;1;0;1000;0
parviflora;lingua;41;1;1;1;0;1000;0
parviflora;lingua;42;1;1;1;322;636;0.506289308
parviflora;lingua;43;1;1;1;143;857;0.166861144
parviflora;lingua;44;1;0;0;;;
parviflora;lingua;45;1;0;0;;;
parviflora;lingua;46;1;1;1;0;1000;0
parviflora;lingua;47;1;1;1;15;985;0.015228426
parviflora;lingua;48;1;1;1;3;997;0.003009027
parviflora;lingua;49;1;1;1;;;
parviflora;lingua;50;1;1;1;2;998;0.002004008
parviflora;lingua;51;1;1;1;;;
parviflora;lingua;52;1;0;0;;;
